                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 0.8535,                0.70459,                  1.107,                0.88716,                0.72437,                0.79608,                0.51791,                 1.2015,                0.78326,                 1.3432,             0.00048074,             0.00048074,             0.00048074
                     36,                 0.8423,                0.69795,                 1.1064,                0.87764,                 0.7475,                0.81191,                0.51963,                 1.2491,                0.77261,                 1.3709,             0.00047367,             0.00047367,             0.00047367
                     37,                 0.8416,                0.70212,                 1.1008,                0.87589,                0.73641,                0.80139,                0.52328,                 1.1902,                0.75857,                 1.3137,              0.0004666,              0.0004666,              0.0004666
                     38,                0.83164,                0.68031,                 1.0953,                 0.8826,                0.70679,                0.79379,                0.51699,                  1.186,                0.76365,                 1.3153,             0.00045953,             0.00045953,             0.00045953
                     39,                0.83512,                0.68382,                 1.0951,                0.89709,                 0.7243,                0.80769,                0.51259,                  1.229,                0.74749,                 1.3587,             0.00045246,             0.00045246,             0.00045246
                     40,                0.82139,                0.67159,                 1.0889,                0.88992,                0.74367,                 0.8219,                0.52827,                 1.1907,                 0.7273,                 1.3013,             0.00044539,             0.00044539,             0.00044539
                     41,                0.81916,                0.66523,                 1.0829,                0.89432,                0.75042,                0.81736,                0.51997,                 1.1906,                0.74365,                 1.3192,             0.00043832,             0.00043832,             0.00043832
                     42,                0.81446,                0.66531,                 1.0857,                0.89709,                0.75798,                 0.8236,                0.53594,                 1.1785,                0.71782,                 1.3023,             0.00043126,             0.00043126,             0.00043126
                     43,                0.81039,                0.65304,                 1.0834,                0.90908,                0.74144,                0.82013,                0.53461,                 1.1775,                0.74209,                 1.3174,             0.00042419,             0.00042419,             0.00042419
                     44,                0.81398,                0.65778,                 1.0838,                0.88616,                0.76782,                0.83298,                0.53837,                 1.2098,                 0.6998,                 1.3266,             0.00041712,             0.00041712,             0.00041712
                     45,                0.80317,                0.63773,                 1.0725,                0.87033,                0.75864,                0.82252,                0.53851,                 1.1845,                 0.7075,                 1.3266,             0.00041005,             0.00041005,             0.00041005
                     46,                0.80131,                0.65131,                 1.0775,                 0.9183,                0.74866,                 0.8218,                0.54316,                 1.1578,                0.70629,                 1.2994,             0.00040298,             0.00040298,             0.00040298
                     47,                0.79764,                0.63331,                 1.0689,                0.93287,                0.74038,                0.82089,                0.54132,                 1.1551,                0.70253,                 1.3013,             0.00039591,             0.00039591,             0.00039591
                     48,                0.78646,                 0.6309,                 1.0686,                0.91873,                0.73789,                0.82707,                0.54102,                 1.1571,                0.71175,                  1.293,             0.00038884,             0.00038884,             0.00038884
                     49,                0.78863,                0.62503,                 1.0673,                0.90342,                0.74372,                0.82702,                0.54385,                 1.1273,                0.68938,                 1.2675,             0.00038178,             0.00038178,             0.00038178
                     50,                0.77824,                0.61858,                 1.0647,                0.89862,                0.75735,                0.82754,                0.54645,                 1.1395,                0.68309,                 1.2825,             0.00037471,             0.00037471,             0.00037471
                     51,                0.77292,                0.62066,                 1.0646,                0.91002,                0.74875,                0.82481,                 0.5526,                 1.1441,                0.69066,                 1.2775,             0.00036764,             0.00036764,             0.00036764
